Date,Canal,Motif_contact,Nb_contacts,Temps_moyen_traitement,Taux_resolution
28/01/2025,Chat,Facturation,137,8,91
02/03/2025,Téléphone,Facturation,58,15,80
01/03/2025,Chat,Technique,192,11,78
24/03/2025,Chat,Technique,141,14,70
18/02/2025,Email,Résiliation,133,7,66
14/01/2025,Chat,Information,164,6,94
02/02/2025,Téléphone,Facturation,57,10,90
25/02/2025,Email,Résiliation,189,8,82
18/03/2025,Email,Facturation,74,15,69
18/03/2025,Chat,Information,105,8,67
04/01/2025,Chat,Information,129,8,65
21/01/2025,Chat,Facturation,32,4,93
19/02/2025,Téléphone,Facturation,134,10,89
19/02/2025,Chat,Technique,106,12,76
11/02/2025,Téléphone,Résiliation,161,7,68
27/03/2025,Chat,Information,174,4,83
24/02/2025,Chat,Facturation,36,4,81
05/03/2025,Téléphone,Résiliation,180,4,77
11/03/2025,Email,Facturation,15,4,68
27/02/2025,Chat,Résiliation,40,4,74
23/03/2025,Chat,Facturation,174,10,91
05/02/2025,Chat,Facturation,183,15,92
30/01/2025,Chat,Information,106,10,93
22/02/2025,Chat,Technique,14,14,68
24/02/2025,Téléphone,Facturation,149,13,73
27/03/2025,Chat,Résiliation,149,12,90
06/02/2025,Email,Facturation,157,11,75
19/01/2025,Téléphone,Résiliation,81,11,70
02/02/2025,Email,Information,94,14,71
03/01/2025,Chat,Technique,138,5,78
19/02/2025,Chat,Technique,127,13,76
17/02/2025,Email,Information,57,14,70
23/03/2025,Email,Résiliation,145,8,87
28/01/2025,Email,Résiliation,148,11,84
22/03/2025,Chat,Information,131,4,83
14/01/2025,Chat,Technique,150,8,94
04/02/2025,Chat,Technique,94,6,95
05/01/2025,Téléphone,Information,26,11,65
16/01/2025,Chat,Technique,195,12,72
18/03/2025,Téléphone,Information,99,12,92
09/01/2025,Téléphone,Information,106,15,72
16/01/2025,Chat,Information,106,14,94
13/01/2025,Email,Information,200,7,91
10/01/2025,Téléphone,Résiliation,30,7,77
09/02/2025,Téléphone,Information,53,13,68
11/02/2025,Téléphone,Facturation,113,11,74
04/03/2025,Téléphone,Information,194,8,72
08/02/2025,Chat,Information,14,12,89
21/01/2025,Chat,Information,53,4,95
09/02/2025,Email,Technique,199,12,66
18/02/2025,Email,Technique,77,14,72
28/01/2025,Chat,Information,168,10,84
27/01/2025,Téléphone,Facturation,164,4,74
28/02/2025,Téléphone,Information,68,14,90
20/01/2025,Téléphone,Résiliation,129,6,66
29/03/2025,Email,Facturation,123,12,91
01/03/2025,Téléphone,Facturation,131,10,67
16/01/2025,Email,Technique,176,5,75
27/03/2025,Téléphone,Facturation,10,14,75
27/01/2025,Téléphone,Facturation,186,5,88
09/02/2025,Email,Information,151,15,70
02/03/2025,Téléphone,Technique,200,7,65
25/02/2025,Email,Information,52,7,73
27/01/2025,Email,Résiliation,137,6,68
10/01/2025,Chat,Technique,131,6,90
21/02/2025,Chat,Technique,88,11,88
03/02/2025,Email,Résiliation,108,11,67
26/03/2025,Email,Technique,78,7,88
10/02/2025,Téléphone,Technique,116,11,81
01/01/2025,Email,Technique,122,12,74
10/02/2025,Email,Technique,125,4,65
17/03/2025,Email,Technique,113,15,82
27/02/2025,Téléphone,Technique,189,14,66
17/03/2025,Téléphone,Facturation,10,14,90
11/03/2025,Téléphone,Facturation,31,8,81
10/01/2025,Chat,Facturation,73,8,93
25/03/2025,Téléphone,Technique,22,6,74
11/01/2025,Chat,Information,18,5,73
03/01/2025,Chat,Technique,196,12,67
19/03/2025,Téléphone,Résiliation,111,12,83
04/01/2025,Téléphone,Technique,142,10,90
21/01/2025,Email,Information,83,13,90
24/02/2025,Email,Information,148,15,89
15/01/2025,Email,Facturation,161,15,82
13/01/2025,Chat,Information,146,10,77
12/01/2025,Chat,Information,32,9,91
01/01/2025,Chat,Résiliation,11,12,87
21/02/2025,Téléphone,Information,81,15,78
31/01/2025,Chat,Facturation,96,12,85
20/03/2025,Téléphone,Résiliation,11,13,67
23/02/2025,Email,Facturation,81,12,82
13/02/2025,Chat,Facturation,171,4,65
10/01/2025,Chat,Information,148,5,76
08/02/2025,Chat,Information,45,12,92
19/01/2025,Chat,Information,54,10,94
03/02/2025,Chat,Résiliation,107,8,76
16/03/2025,Téléphone,Information,107,8,78
12/01/2025,Email,Résiliation,148,7,65
05/01/2025,Chat,Information,107,7,85
21/01/2025,Chat,Résiliation,47,5,78
26/01/2025,Chat,Technique,180,5,95
22/03/2025,Chat,Résiliation,194,14,80
14/02/2025,Chat,Facturation,70,9,86
20/01/2025,Téléphone,Résiliation,173,6,65
08/02/2025,Téléphone,Technique,161,11,66
20/02/2025,Chat,Résiliation,122,8,76
12/02/2025,Email,Résiliation,180,12,69
18/01/2025,Chat,Facturation,12,7,88
24/02/2025,Téléphone,Technique,59,14,89
08/03/2025,Email,Information,169,5,66
06/02/2025,Chat,Technique,23,15,86
28/03/2025,Chat,Résiliation,182,15,78
20/03/2025,Téléphone,Information,198,12,81
03/03/2025,Chat,Résiliation,165,8,69
08/02/2025,Téléphone,Résiliation,85,12,82
07/01/2025,Téléphone,Information,109,15,80
04/01/2025,Email,Facturation,175,14,79
24/02/2025,Chat,Technique,62,11,69
16/03/2025,Téléphone,Information,97,6,77
01/03/2025,Chat,Technique,70,6,88
12/01/2025,Email,Technique,189,10,94
23/02/2025,Chat,Information,103,9,66
22/02/2025,Téléphone,Information,147,11,85
26/01/2025,Chat,Résiliation,178,14,76
19/01/2025,Téléphone,Technique,69,15,89
08/01/2025,Chat,Technique,131,13,87
07/01/2025,Chat,Facturation,26,7,79
05/03/2025,Email,Technique,51,7,68
12/02/2025,Téléphone,Facturation,18,15,67
02/03/2025,Téléphone,Information,193,12,65
21/03/2025,Téléphone,Résiliation,153,9,90
14/01/2025,Chat,Résiliation,132,8,71
07/03/2025,Email,Technique,61,6,80
20/01/2025,Téléphone,Facturation,119,4,75
17/03/2025,Téléphone,Information,144,12,75
12/02/2025,Téléphone,Technique,51,12,68
10/03/2025,Chat,Facturation,174,8,80
26/03/2025,Chat,Résiliation,146,5,68
08/01/2025,Chat,Technique,124,7,74
01/01/2025,Téléphone,Résiliation,59,13,75
14/03/2025,Email,Technique,96,11,69
24/01/2025,Chat,Facturation,137,6,83
12/01/2025,Téléphone,Technique,27,10,77
29/01/2025,Téléphone,Résiliation,120,6,92
31/01/2025,Téléphone,Information,141,10,84
02/01/2025,Chat,Technique,114,12,69
